Station,Date,"Gust Speed","Gust Dir","Solar Rad"
id,date,mph,degrees,W/m2
pgs01,"12/01/2025",15.49,204.5,115.44
pkh01,"11/25/2025",23.11,339.4,108.56
pkh01,"11/26/2025",8.33,113.9,68.39
pkh01,"11/27/2025",11.02,44.1,76.6
pkh01,"11/28/2025",24.11,310.2,79.66
pkh01,"11/29/2025",28.97,6.7,106.6
pkh01,"11/30/2025",14.71,125.4,55.89
pkh01,"12/01/2025",11.52,161.7,103.82
pkn01,"11/25/2025",28.95,0.2,112.36
pkn01,"11/26/2025",10.52,85.6,110.53
pkn01,"11/27/2025",19.37,177.0,127.46
pkn01,"11/28/2025",20.18,354.4,61.95
pkn01,"11/29/2025",36.1,7.6,129.62
pkn01,"11/30/2025",23.24,123.5,51.62
pkn01,"12/01/2025",25.28,349.7,130.52
pnr01,"11/25/2025",24.45,234.3,118.24
pnr01,"11/26/2025",10.68,130.9,112.63
pnr01,"11/27/2025",8.67,119.2,123.42
pnr01,"11/28/2025",32.32,292.8,73.85
